age,education,balance,day,month,duration,campaign,pdays,previous,poutcome,job_blue,job_entrepreneur,job_housemaid,job_management,job_retired,job_self,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_married,marital_single,default_yes,housing_yes,loan_yes,contact_telephone,contact_unknown
53,2,472,20,6,325,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1
57,2,1044,11,1,585,1,192,2,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
26,2,309,13,5,210,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
52,3,0,20,6,166,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
43,2,3780,9,6,67,2,202,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27,2,294,28,5,694,2,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
54,3,707,23,7,272,2,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
31,3,1331,5,11,268,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
38,3,3141,9,11,347,4,189,2,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
44,2,268,26,8,127,5,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
28,3,159,14,10,246,2,420,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
32,2,409,9,3,217,2,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
28,2,633,25,7,95,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
46,2,332,9,5,772,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
23,2,31,1,6,192,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
58,2,145,29,7,616,13,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
29,3,51,17,7,1319,5,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
54,3,2473,5,3,607,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42,0,756,14,10,72,4,160,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39,3,206,20,10,148,2,195,2,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
48,2,513,28,7,939,3,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
33,1,0,8,8,138,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,3,1813,5,2,102,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
36,3,1830,15,7,185,5,181,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
49,3,0,12,5,345,2,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
52,1,126,23,5,93,4,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
31,3,302,3,2,349,1,357,3,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
26,2,-189,17,7,538,2,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
60,1,0,18,8,142,3,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
32,1,1504,17,4,131,2,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
24,2,685,26,5,896,3,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
49,0,387,28,1,325,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
56,2,938,3,7,202,2,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
57,3,-1,14,5,850,2,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
25,2,304,26,5,226,2,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
26,2,321,22,7,242,7,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
60,3,439,25,5,464,1,321,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
39,2,2266,18,2,208,4,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
59,2,1047,18,2,83,3,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
32,1,-849,4,2,204,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
49,2,10250,24,10,97,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
78,3,1204,17,11,135,1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
50,3,221,20,4,319,2,340,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
32,3,4945,4,6,160,1,119,2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
54,2,0,6,11,464,5,192,8,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
31,2,202,8,7,167,1,62,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
41,2,239,29,5,385,2,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
21,2,794,5,6,191,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
29,2,590,25,5,124,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
30,2,196,29,5,91,7,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
43,2,699,20,11,1258,2,122,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
50,2,3608,14,5,196,8,182,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
55,0,3122,8,7,349,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22,2,283,22,3,254,2,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
61,2,296,17,6,18,1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
32,2,739,20,11,91,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
81,1,5220,13,11,135,1,94,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
48,2,156,4,8,291,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
46,2,766,16,7,6,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
32,0,2378,17,11,1132,2,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
30,2,2371,14,6,661,1,384,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
49,2,412,19,8,1293,8,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
40,2,100,11,8,221,1,461,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
27,3,138,15,6,89,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
47,3,4693,12,11,89,1,97,3,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
35,2,274,20,5,205,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1
44,1,622,21,2,66,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
28,3,805,16,2,331,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
54,2,472,21,7,86,4,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
41,3,145,22,7,1833,2,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
53,1,5603,28,8,2372,6,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,3,1517,8,8,193,3,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
35,2,2918,16,7,815,2,407,3,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
40,1,968,8,5,213,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1
41,2,663,24,7,1204,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
48,1,46,4,8,118,1,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31,2,-745,13,5,227,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
29,2,1093,29,5,368,2,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
56,3,616,6,2,156,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,1,246,19,6,683,3,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
30,3,3300,21,11,1571,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
59,2,2965,13,5,1970,3,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
33,2,2668,18,7,187,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
48,2,742,14,7,304,4,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
36,2,7503,5,5,193,1,335,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
28,2,2351,22,10,157,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
48,3,86,28,6,281,3,186,6,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
55,3,655,28,7,167,6,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
48,1,296,9,5,164,8,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
42,1,784,28,4,428,3,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
56,3,1922,24,7,247,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
38,3,2885,20,6,1422,10,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
31,2,6981,20,11,627,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
43,2,-228,16,5,122,2,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1
36,3,307,14,5,341,1,330,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
32,2,-203,18,7,67,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
37,1,120,8,5,80,4,358,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
39,2,599,6,6,53,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
38,2,4539,16,9,387,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
35,3,3552,21,11,267,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
34,3,0,30,4,300,1,86,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
42,2,-283,8,7,96,2,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
37,3,197,15,2,531,1,91,2,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
32,3,1868,27,8,186,16,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
36,2,12264,12,4,158,2,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
40,1,278,23,5,1015,3,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
59,1,1425,28,8,299,3,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
32,3,2983,12,10,268,1,102,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
52,2,3703,23,7,152,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
46,1,874,6,8,996,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
51,2,955,17,12,221,3,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
37,2,177,16,7,464,3,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
52,3,-1112,9,7,94,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
32,3,654,25,5,615,4,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
32,2,684,14,5,607,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
32,2,-1,9,5,653,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
59,3,422,14,5,647,4,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
41,2,14968,23,7,1360,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39,0,0,26,5,470,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
29,2,0,16,7,186,4,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
39,2,132,9,2,170,2,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33,1,167,21,8,141,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
48,2,1559,24,12,520,3,133,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
37,2,934,9,5,258,2,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
53,3,-252,24,7,223,2,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
59,2,496,22,10,738,3,183,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
53,3,583,17,11,226,1,184,4,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27,3,202,21,7,678,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
35,2,2201,3,6,354,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
33,2,207,14,5,629,4,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
31,3,414,16,7,241,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,3,1147,5,8,389,1,64,2,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27,2,0,31,7,35,6,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
25,2,720,4,6,156,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
47,2,368,23,2,269,1,187,5,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38,2,-228,7,7,162,4,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
35,2,12961,21,5,272,2,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
45,2,827,15,5,319,5,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
45,0,-72,11,5,306,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
29,2,200,4,6,87,2,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
45,3,2552,1,6,69,1,293,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
54,2,3344,14,5,12,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
33,3,1190,17,4,50,2,252,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
30,2,119,30,5,281,2,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
37,3,5355,17,2,466,4,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
33,2,379,16,6,263,2,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
44,2,210,12,5,111,2,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
52,1,-211,28,5,153,2,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1
32,0,227,12,5,523,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
36,3,73,23,7,172,2,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
35,2,-199,27,5,137,2,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
27,2,204,28,7,471,2,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
46,1,965,5,5,177,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
53,1,238,11,5,238,2,361,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
50,3,2050,6,8,158,3,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
59,2,5744,18,6,632,1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
48,1,46,3,8,113,2,180,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35,3,3837,8,5,1084,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
30,2,309,7,5,1574,2,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
29,3,19,3,12,274,1,230,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
38,1,354,13,5,47,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
40,3,0,10,11,147,1,96,8,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60,3,1034,7,8,231,3,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
40,1,2880,6,5,145,2,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
39,2,1757,28,10,125,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
41,2,3138,14,9,409,1,398,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
28,2,-1270,7,7,237,2,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0
27,2,-97,18,6,1528,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
39,2,2467,19,7,207,2,276,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
44,2,292,17,7,1153,4,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
36,2,494,9,5,83,3,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
50,2,3176,7,8,670,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
52,2,1049,4,6,80,6,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
59,2,0,24,7,393,3,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
49,2,388,31,7,1032,4,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
31,2,259,19,5,287,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
45,2,205,4,5,552,1,90,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,2,305,9,6,327,2,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
41,1,141,16,5,299,4,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
48,2,427,14,5,201,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
57,2,5961,14,5,166,3,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
31,3,1385,25,8,116,8,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
36,2,218,4,5,619,6,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
89,1,1323,29,12,207,4,189,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
52,2,218,2,6,490,12,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
33,2,2279,12,5,123,3,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
46,3,21,30,7,566,2,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,2,-228,13,5,38,1,362,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
35,3,3544,8,6,380,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
46,2,-824,7,8,429,3,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
47,2,80,25,6,100,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
36,2,136,4,6,38,2,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
32,2,400,4,5,268,3,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35,2,0,19,11,644,4,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
49,0,3096,16,6,147,2,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
51,2,548,22,8,511,4,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39,3,-85,8,5,423,2,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
76,1,802,9,3,241,1,181,5,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,10,14,7,135,3,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50,3,5108,18,12,406,1,182,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
52,2,-528,1,6,1144,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
52,3,7135,19,8,1032,3,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
54,1,2584,20,8,387,7,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40,3,-164,7,5,87,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
46,3,624,17,9,336,2,183,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1,603,24,7,853,2,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
34,3,0,21,5,311,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
35,2,2971,4,5,429,4,164,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,3,2551,21,7,638,3,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
